Listagem de Produtos

Filtros Aplicados: «Estado Produto» = 'Normal' E «Código» > '0' 
Farmácia: Vitorino	Contribuinte:	516877160

Avenida Bernardo Santareno, 24

Cód.	Cod. Gr. Hom.	Designação	DCI	Forma Farmac.	Gen.	Desc. Grupo Homogéneo	Laboratório	Posologia	PVP	Titular AIM	Classificação
3160686	GH0000	CANESTEN PO TOP 1% 30 G	Clotrimazol	Pó cutâneo	NÃO	Não atribuido	Bayer Portugal, SA	Adultos e Crianças: aplicar e 2 a 3 x/dia. O pó deve ser utilizado em associação 	8,55	Bayer Portugal, Lda.	NETT
3160082	GH0000	BUDENOFALK CAPS RET 3 MG X 60	Budesonida	Cápsula gastrorresistente	NÃO	Não atribuido	 	Adultos: 1 cáps. 3 x/dia, ½ hora antes da refeição 	54,10	Dr. Falk Pharma Portugal, Sociedade Unipessoal, Lda.	Éticos
3159985	GH0000	BUDENOFALK CAPS RET 3 MG X 20	Budesonida	Cápsula gastrorresistente	NÃO	Não atribuido	 	Adultos: 1 cáps. 3 x/dia, ½ hora antes da refeição 	20,52	Dr. Falk Pharma Portugal, Sociedade Unipessoal, Lda.	Éticos
3125283	GH0000	EPAXAL INJ SER 1000 UI 0,5 ML	Vacina contra a hepatite A	Suspensão injetável em seringa pré-cheia	NÃO	Não atribuido	 	 	24,56	Crucell Italy, S.r.l.	Éticos

6556258	GH0000	RAMET HUILE CADE SH FREQ OLEO 250 ML	 	 	NÃO	Não atribuido	A	 	12,95	CS Portugal	NETT

6556340	GH0000	ZELDERME SOL BANHO 200 ML	 	 	NÃO	Não atribuido	 	 	0,00	Decomed	NETT

6556274	GH0000	ZELDERME COMPOSTO SOL BANHO 200 ML	 	 	NÃO	Não atribuido	 	 	11,95	Decomed	NETT

3139888	GH0000	ALZEN 100 COMP REV 100 MG X 60	Quetiapina	Comprimido revestido por película	NÃO	Não atribuido	 	 	66,45	Tecnifar - Indústria Técnica Farmacêutica, S.A.	Éticos

3079183	GH1004	AVELOX COMP 400 MG X 5	Moxifloxacina	Comprimido revestido por película	NÃO	Moxifloxacina | A101 | Oral | 400 mg | [5] unidades	 	A moxifloxacina está contraindicada em crianças e adolescentes (< 18 anos). 	13,56	Bayer Portugal, Lda.	Éticos
3079282	GH1005	AVELOX COMP REV 400 MG X 7	Moxifloxacina	Comprimido revestido por película	NÃO	Moxifloxacina | A101 | Oral | 400 mg | [7] unidades	 	A moxifloxacina está contraindicada em crianças e adolescentes (< 18 anos). 	17,29	Bayer Portugal, Lda.	Éticos
3196482	GH1019	CELEBREX CAPS 200 MG X 20	Celecoxib	Cápsula	NÃO	Celecoxib | A101 | Oral | 200 mg | [1-20] unidades	 	Adultos: 200 mg/dia em dose única ou dividido em 2 tomas a 200 mg 2 x/dia, de 	10,00	Upjohn EESV	Éticos
3196888	GH1020	CELEBREX CAPS 200 MG X 60	Celecoxib	Cápsula	NÃO	Celecoxib | A101 | Oral | 200 mg | [21-60] unidades	 	Adultos: 200 mg/dia em dose única ou dividido em 2 tomas a 200 mg 2 x/dia, de 	23,80	Upjohn EESV	Éticos
3198199	GH0876	BLOPRESS COMP (16+12,5) MG X 56	Candesartan + Hidroclorotiazida	Comprimido	NÃO	Candesartan + Hidroclorotiazida | A101 | Oral | 16 mg + 12.5 mg | [21-60] unidades	 	Adulto e idoso - 1 comp., de 24/24h. Doente com depleção volume/risco de 	15,16	Laboratório Medinfar - Produtos Farmacêuticos, S.A.	Éticos
3197795	GH0000	BLOPRESS 16+12,5 COMP 16+12,5 MG X 14	Candesartan + Hidroclorotiazida	Comprimido	NÃO	Não atribuido	 	Adulto e idoso - 1 comp., de 24/24h. Doente com depleção volume/risco de 	8,05	Laboratório Medinfar - Produtos Farmacêuticos, S.A.	Éticos
3117595	GH0128	SINVASTATINA ZERA COMP REV 20 MG X 60	Sinvastatina	Comprimido revestido	SIM	Sinvastatina | A101 | Oral | 20 mg | [21-60] unidades	 	Adultos e idosos: 5-80 mg/dia.  Ajuste posológico em intervalos de 4 semanas 	9,97	Pentafarma - Sociedade Técnico-Medicinal, S.A.	Éticos
3135480	GH0000	FRAGMIN INJ SER 10000 UI/0,4 MLX5	Dalteparina sódica	Solução injetável	NÃO	Não atribuido	 	 	39,73	Laboratórios Pfizer, Lda.	Éticos
Listagem de Produtos

Filtros Aplicados: «Estado Produto» = 'Normal' E «Código» > '0' 
Farmácia: Vitorino	Contribuinte:	516877160

Avenida Bernardo Santareno, 24

3135589	GH0000	FRAGMIN INJ SER 12500 UI/0,5 MLX5	Dalteparina sódica	Solução injetável	NÃO	Não atribuido	 	 	47,12	Laboratórios Pfizer, Lda.	Éticos

3179389	GH0000	MEGESTROL GENERIS COMP 160 MG X 30	Megestrol	Comprimido	NÃO	Não atribuido	 	Adultos – Tratamento paliativo ou como adjuntor de outra terapia nos casos de 	56,67	Eugia Pharma (Malta) Limited	Éticos
3124989	GH0676	FORTZAAR COMP REV X 28	Losartan + Hidroclorotiazida	Comprimido revestido por película	NÃO	Losartan + Hidroclorotiazida | A101 | Oral | 100 mg + 25 mg | [21-60] unidades	 	Adulto e idoso - 1 comp., de 24/24h. IR - Grave: não utilizar. IH - Grave: 	10,10	Organon Portugal, Sociedade Unipessoal, Lda.	Éticos
3126489	GH0000	CALCITAB COMP MAST 600 MG X 60	Carbonato de cálcio	Comprimido para mastigar	NÃO	Não atribuido	 	Adultos e idosos: 1 - 2 comps/dia; Crianças: 1 comp/dia. 	6,60	Italfarmaco - Produtos Farmacêuticos, Lda.	Éticos
6556506	GH0000	NEUTROGENA CR MAOS + STICK LABIAL 	 	 	NÃO	Não atribuido	Johnson & Johnson, Lda	 	8,80	J&J	NETT

3218682	GH0000	COMBIVENT UNIDOSE AER INAL 2,5 ML X 20	Brometo de ipratrópio + Salbutamol	Solução para inalação por nebulização	NÃO	Não atribuido	 	Adultos e adolescentes > 12 anos – Tratamento de ataques agudos: 1 a 2 	31,42	Boehringer Ingelheim, Portugal Lda.	Éticos
2978880	GH0000	MIFLONIDE PO INAL OR 200 MCG X 20	Budesonida	Pó para inalação, cápsula	NÃO	Não atribuido	 	Adultos: 200 a 1600 µg/dia dividido em 2 tomas; Crianças > 6 anos: 200 a 400 	3,62	Novartis Farma - Produtos Farmacêuticos, S.A.	Éticos
9529214	GH0000	BRONCHO VAXOM INF CAPS 3,5 MG X 30	Lisados polibacterianos	Cápsula	NÃO	Não atribuido	 	Crianças (> 6 meses) - Prevenção da recorrência de infeções das vias 	25,16	Omedicamed, Unipessoal Lda	Éticos
9529230	GH0000	BRONCHO VAXOM AD CAPS 7  MG X 30	Lisados polibacterianos	Cápsula	NÃO	Não atribuido	 	Adultos Prevenção da recorrência: 1 cáps./dia em 	35,53	Omedicamed, Unipessoal Lda	Éticos
6557165	GH0000	BIOCUTAL CR CORPO 150 ML	 	 	NÃO	Não atribuido	 	 	6,10	LABORATORIOS INIBSA SA	NETT

6557280	GH0000	DUCRAY KERACNYL GEL PURIF 200ML	 	 	NÃO	Não atribuido	Pierre Fabre, Lda	 	13,95	Pierre Fabre	NETT

6763821	GH0000	LACER ESC DENT MED	 	 	NÃO	Não atribuido	 	 	3,50	Lacer	NETT

3121985	GH0000	CARBAMAZEPINA MYLAN COMP RET 400 MG X 60	Carbamazepina	Comprimido de libertação prolongada	SIM	Não atribuido	Meda Pharma - Produtos Farmacêuticos, S. A.	 	5,81	Mylan, Lda.	Éticos

3118585	GH0000	CARBAMAZEPINA MYLAN COMP RET 200 MG X 60	Carbamazepina	Comprimido de libertação prolongada	SIM	Não atribuido	Meda Pharma - Produtos Farmacêuticos, S. A.	 	4,03	Mylan, Lda.	Éticos

2849487	GH0000	TRAZONE AC COMP RET 150 MG X 60	Trazodona	Comprimido de libertação modificada	NÃO	Não atribuido	 	Adulto - formas leves e moderadas: 1 comp., à noite.; forma média ou grave: 1 	16,01	Tecnifar - Indústria Técnica Farmacêutica, S.A.	Éticos
3179694	GH0430	OGASTO CAPS 15 MG X 56	Lansoprazol	Cápsula gastrorresistente	NÃO	Lansoprazol | A103 | Oral | 15 mg | [21-60] unidades	Luso Medicamenta	Adultos: 15 a 30 mg 1 x/dia, de manhã 30 min antes das refeições; Erradicação 	14,10	Laboratório Medinfar - Produtos Farmacêuticos, S.A.	Éticos
3190899	GH0127	SINPOR COMP REV 20 MG X 20	Sinvastatina	Comprimido revestido	NÃO	Sinvastatina | A101 | Oral | 20 mg | [1-20] unidades	 	 	4,48	Sidefarma - Sociedade Industrial de Expansão Farmacêutica, S.A.	Éticos

3162088	GH0000	EUFILINA COMP RET 250 MG X 20	Teofilina	Comprimido de libertação prolongada	NÃO	Não atribuido	 	 	2,37	Takeda - Farmacêuticos Portugal, Lda.	NETT

3162187	GH0000	EUFILINA COMP RET 250 MG X 60	Teofilina	Comprimido de libertação prolongada	NÃO	Não atribuido	 	 	4,67	Takeda - Farmacêuticos Portugal, Lda.	Éticos

6558379	GH0000	HYFAC PLUS MOUSSE BARBA 150 ML	 	 	NÃO	Não atribuido	 	 	13,95	Biolotus	NETT

6558395	GH0000	HYFAC EXFOLIANTE 50 ML	 	 	NÃO	Não atribuido	 	 	14,50	Biolotus	NETT

2922698	GH0000	CLAVAMOX DT 400 SUSP ORAL (400+57) MG/5 ML 70 ML	Amoxicilina + Ácido clavulânico	Pó para suspensão oral	NÃO	Não atribuido	 	Tomar no inicio das refeições ou um pouco antes. 	5,06	Bial - Portela & Cª, S.A.	Éticos
3983889	GH0000	CHIROFLU INJ SER 15 MCG/0,5 ML	Vacina contra a gripe	Suspensão injetável em seringa pré-cheia	NÃO	Não atribuido	 	 	6,17	Seqirus S.r.l.	Éticos

3212081	GH0000	HYTACAND COMP (16+12,5) MG X 14	Candesartan + Hidroclorotiazida	Comprimido	NÃO	Não atribuido	 	Adulto e idoso - 1 comp., de 24/24h. Doente com depleção volume/risco de 	5,16	Cheplapharm Arzneimittel GmbH	Éticos
3212289	GH0876	HYTACAND COMP (16+12,5) MG X 28	Candesartan + Hidroclorotiazida	Comprimido	NÃO	Candesartan + Hidroclorotiazida | A101 | Oral | 16 mg + 12.5 mg | [21-60] unidades	 	Adulto e idoso - 1 comp., de 24/24h. Doente com depleção volume/risco de 	11,16	Cheplapharm Arzneimittel GmbH	Éticos
3066982	GH0992	SUBUTEX COMP SL 0,4 MG X 7	Buprenorfina	Comprimido sublingual	NÃO	Buprenorfina | A109 | Sublingual | 0.4 mg | [1-7] unidades	 	Adultos e crianças a partir dos 15 anos: Terapêutica de iniciação: 0,8 e 4 mg, em 	3,26	Indivior Europe Limited	Éticos
3067188	GH0692	SUBUTEX COMP SL 2 MG X 7	Buprenorfina	Comprimido sublingual	NÃO	Buprenorfina | A109 | Sublingual | 2 mg | [1-7] unidades	 	Adultos e crianças a partir dos 15 anos: Terapêutica de iniciação: 0,8 e 4 mg, em 	5,00	Indivior Europe Limited	Éticos
3067386	GH0693	SUBUTEX COMP SL 8 MG X 7	Buprenorfina	Comprimido sublingual	NÃO	Buprenorfina | A109 | Sublingual | 8 mg | [1-7] unidades	 	Adultos e crianças a partir dos 15 anos: Terapêutica de iniciação: 0,8 e 4 mg, em 	18,20	Indivior Europe Limited	Éticos
3199189	GH0000	ZYBAN COMP RET 150 MG X 60	Bupropiom	Comprimido de libertação prolongada	NÃO	Não atribuido	 	Adultos: iniciar com 1 comp. (150 mg) 1 x/dia durante 6 dias, passando no 7º dia 	70,87	Glaxo Wellcome Farmacêutica, Lda.	Éticos
8574913	GH0000	MUCOSOLVAN XAR 30 MG/5 ML 200 ML	Ambroxol	Xarope	NÃO	Não atribuido	Sanofi - Produtos Farmacêuticos, Lda	Adultos e crianças > 12 anos: 2 colh. de chá, 2x/dia; Crianças 6-12 anos: 1 	11,75	Opella Healthcare Portugal, Unipessoal Lda	NETT
3231594	GH0000	FLECTOR TISSUGEL SIST TRANSD 180 MG X 5	Diclofenac	Emplastro medicamentoso	NÃO	Não atribuido	 	Aplicar 2 x/dia, de manhã e à noite sobre a zona a tratar (não exceder os 14 dias 	9,60	BGP Products, Unipessoal Lda.	NETT
3231693	GH0000	FLECTOR TISSUGEL SIST TRANSD 180 MG X 10	Diclofenac	Emplastro medicamentoso	NÃO	Não atribuido	Meda Pharma - Produtos Farmacêuticos, S. A.	Aplicar 2 x/dia, de manhã e à noite sobre a zona a tratar (não exceder os 14 dias 	15,25	BGP Products, Unipessoal Lda.	Éticos
3224185	GH0000	SEVREDOL COMP REV 10 MG X 20	Morfina	Comprimido revestido	NÃO	Não atribuido	 	Adulto e > 12 anos: Um doente que apresente dor grave deve normalmente 	3,89	Mundipharma - Farmacêutica Lda.	Éticos
3224284	GH0000	SEVREDOL COMP REV 20 MG X 20	Morfina	Comprimido revestido	NÃO	Não atribuido	 	Adulto e > 12 anos: Um doente que apresente dor grave deve normalmente 	5,05	Mundipharma - Farmacêutica Lda.	Éticos
3165685	GH0621	APTON 40 MG COMP REV 40 MG X 56	Pantoprazol	Comprimido gastrorresistente	NÃO	Pantoprazol | A103 | Oral | 40 mg | [21-60] unidades	 	Adultos: 40 a 80 mg/dia	28,49	BGP Products, Unipessoal Lda.	Éticos
Listagem de Produtos

Filtros Aplicados: «Estado Produto» = 'Normal' E «Código» > '0' 
Farmácia: Vitorino	Contribuinte:	516877160

Avenida Bernardo Santareno, 24

3186186	GH0000	BOTOX INJ 100 U	Toxina botulínica A	Pó para solução injetável	NÃO	Não atribuido	 	Adulto - AFEÇÕES NEUROLÓGICAS:  Espasticidade focal associada a parlisia 	171,96	Abbvie, Lda.	Éticos
3125986	GH0000	PULMIBEN 2% XAR 100 MG/5 ML 125 ML	Carbocisteína	Xarope	NÃO	Não atribuido	 	Crianças até 5 anos: 1 colher de chá 2 x/dia; Crianças > 5 anos: 1 colher de chá 	5,80	ITF Healthvita, Produtos Farmacêuticos Lda.	NETT
3211588	GH0000	CALCIUM D SANDOZ COMP EF X 20	Carbonato de cálcio + Colecalciferol	Comprimido efervescente	NÃO	Não atribuido	 	Adultos: 1 a 2 comp./dia	3,19	Sandoz Farmacêutica, Lda.	Éticos

3268083	GH0000	ZOLOFT SOL OR 20 MG/ML 60 ML	Sertralina	Concentrado para solução oral	NÃO	Não atribuido	 	Adulto: Depressão e POC - iniciar com 50 mg/dia. Pânico, PTSD e Ansiedade Social 	9,74	Upjohn EESV	Éticos
6764225	GH0000	DODOT FRALDAS FRAL PRIMEIRA SEMANA X 20	 	 	NÃO	Não atribuido	 	 	5,10	P&G	NETT

7733147	GH0000	AMENDOAS DOCES OLEO 150 ML FECOFAR	 	 	NÃO	Não atribuido	 	 	3,10	FECOFAR           	NETT

8670208	GH0000	MUCOSPAS AD XAR AD 0,01+15 MG 200 ML	Ambroxol + Clenbuterol	Xarope	NÃO	Não atribuido	 	 	12,83	Opella Healthcare Portugal, Unipessoal Lda	Éticos

8670216	GH0000	MUCOSPAS INF XAR INF 0,005/15 MG 200 ML	Ambroxol + Clenbuterol	Xarope	NÃO	Não atribuido	 	Tomar ás refeições com líquido.	7,72	Opella Healthcare Portugal, Unipessoal Lda	Éticos

3126687	GH0030	CAPTOPRIL RATIOPHARM COMP 25 MG X 20	Captopril	Comprimido	SIM	Captopril | A101 | Oral | 25 mg | [1-20] unidades	 	Adultos – HTA: 12,5 mg 2 x/dia a 50 mg 3 x/dia de acordo com a gravidade da 	3,85	Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.	Éticos
6559088	GH0000	ATODERM CR 200 ML	 	 	NÃO	Não atribuido	Sociedade Farmacêutica de Desenvolvimento	 	9,60	NAOS	NETT

6559096	GH0000	ATODERM FLUIDO 200 ML	 	 	NÃO	Não atribuido	Sociedade Farmacêutica de Desenvolvimento	 	11,95	NAOS	NETT

6559104	GH0000	DUCRAY CAPILARES KERTYOL PSO SH 200 ML	 	 	NÃO	Não atribuido	Pierre Fabre, Lda	 	19,15	Pierre Fabre	NETT

6559203	GH0000	KLORANE CHAMPO QUININA VIT B6 400 ML	 	N.A.	NÃO	Não atribuido	Pierre Fabre, Lda	 	15,00	Pierre Fabre	NETT

6559278	GH0000	KLORANE CHAMPO LEITE AVEIA 400 ML	 	 	NÃO	Não atribuido	Pierre Fabre, Lda	 	15,75	Pierre Fabre	NETT

6559294	GH0000	KLORANE CHAMPO CAMOMILA 400 ML	 	 	NÃO	Não atribuido	Pierre Fabre, Lda	 	13,49	Pierre Fabre	NETT

6764290	GH0000	HYLO COMOD COLIRIO 10 ML	 	 	NÃO	Não atribuido	OM Pharma, S.A.	 	14,95	Ursapharm	NETT

6559427	GH0000	LUTSINE XERAMANCE PLUS CR 100 ML	 	 	NÃO	Não atribuido	Reckitt Benckiser Healthcare,  Lda	 	16,99	Karo	NETT

7336099	GH0000	AFRON CAPS X 30	 	 	NÃO	Não atribuido	LABORATÓRIO J.NEVES, LDA	 	23,10	J Neves	NETT

3232592	GH0000	PAINEX GEL 11,6% 100 G	Diclofenac	Gel	NÃO	Não atribuido	CONFAR-CONSORCIO FARMC.LDA.	Adultos: aplicar 3 a 4 x/dia.Aplicar na pele friccionando ligeiramente. 	7,40	Generis Farmacêutica, S.A.	NETT
3241189	GH0000	MOMENT 200 COMP REV 200 MG X 12	Ibuprofeno	Comprimido revestido	NÃO	Não atribuido	 	Adultos e crianças > de 12 anos: 1-2 comp. 2-3 x/ dia. Dose máx. diária: 6 	3,90	Angelini Pharma Portugal, Unipessoal Lda	NETT
3240090	GH0000	DIVICIL SUSP OR 400 MG/5 ML 100ML	Aciclovir	Suspensão oral	NÃO	Não atribuido	 	 	13,23	Laboratório B. A. Farma, Lda.	Éticos

3268380	GH0000	VEROLAX ENEMA AD 6,75 G X 6	Glicerol	Solução retal	NÃO	Não atribuido	 	1 ou 2 microclisteres/dia.Introduzir o microclister no reto. 	4,20	Angelini Pharma Portugal, Unipessoal Lda	NETT
3311180	GH0000	FLUIMUCIL 2% SOL OR 100 MG/5 ML 200 ML	Acetilcisteína	Solução oral	NÃO	Não atribuido	 	Adultos e crianças > 12 anos: 10 ml 3 x/dia; Crianças dos 6 aos 12 anos: 5 ml 3 	7,70	Zambon - Produtos Farmacêuticos, Lda.	NETT
3038288	GH0000	AGGRENOX COMP RET X 60	Ácido acetilsalicílico + Dipiridamol	Cápsula de libertação prolongada	NÃO	Não atribuido	 	 	13,14	Boehringer Ingelheim, Portugal Lda.	Éticos

3203387	GH0060	DICLOFENAC GENERIS COMP 50 MG X 60	Diclofenac	Comprimido revestido	SIM	Diclofenac | A101 | Oral | 50 mg | [21-60] unidades	 	Adultos: 50 a 200 mg/dia de acordo com a indicação terapêutica 	4,45	Generis Farmacêutica, S.A.	Éticos
3202884	GH0036	CARBAMAZEPINA GENERIS COMP 200 MG X 20	Carbamazepina	Comprimido	SIM	Carbamazepina | A101 | Oral | 200 mg | [1-20] unidades	 	Epilepsia - 100-200 mg, de 24/24h ou de 12/12h, elevar lentamente até resposta 	2,16	Generis Farmacêutica, S.A.	Éticos
3202983	GH0037	CARBAMAZEPINA GENERIS COMP 200 MG X 60	Carbamazepina	Comprimido	SIM	Carbamazepina | A101 | Oral | 200 mg | [21-60] unidades	 	Epilepsia - 100-200 mg, de 24/24h ou de 12/12h, elevar lentamente até resposta 	3,85	Generis Farmacêutica, S.A.	Éticos
3203189	GH0041	CARBAMAZEPINA GENERIS COMP 400 MG X 60	Carbamazepina	Comprimido	SIM	Carbamazepina | A101 | Oral | 400 mg | [21-60] unidades	 	Epilepsia - 100-200 mg, de 24/24h ou de 12/12h, elevar lentamente até resposta 	5,84	Generis Farmacêutica, S.A.	Éticos
3126885	GH0000	CAPTOPRIL RATIOPHARM COMP 50 MG X 20	Captopril	Comprimido	SIM	Não atribuido	 	Adultos – HTA: 12,5 mg 2 x/dia a 50 mg 3 x/dia de acordo com a gravidade da 	9,93	Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.	Éticos
2809184	GH0000	BONALFA PDA 4 MCG/G 30 G	Tacalcitol	Pomada	NÃO	Não atribuido	 	Adultos: aplicar sobre as áreas afectadas 1 x/dia, de preferência ao deitar 	16,34	ISDIN - Laboratório Farmacêutico Unipessoal, Lda.	Éticos
3309986	GH0000	ARTELAC COLIRIO 0,5 ML DU X 30	Hipromelose	Colírio, solução	NÃO	Não atribuido	 	 	8,25	Angelini	NETT

3263993	GH0000	FLUIDRENOL XAR 30 MG/5 ML 200 ML	Ambroxol	Xarope	NÃO	Não atribuido	CONFAR-CONSORCIO FARMC.LDA.	Adultos e crianças > 12 anos: 2 colheres de chá, 2 x/dia. Crianças – até 2 anos: 	8,85	Confar - Consórcio Farmacêutico, Lda.	NETT
6559641	GH0000	ATODERM PO ZINCO CR 100 ML	 	 	NÃO	Não atribuido	Sociedade Farmacêutica de Desenvolvimento	 	20,65	NAOS PORTUGAL, UNIP LDA	NETT

3191087	GH1202	MINESSE COMP REV 60+15 MCG X 28	Etinilestradiol + Gestodeno	Comprimido revestido por película	NÃO	Etinilestradiol + Gestodeno | A101 | Oral | 0.015 mg + 0.06 mg | 1 CICLO [21-28] 	 	1 comp./dia 28 dias seguidos	5,26	Laboratórios Pfizer, Lda.	Éticos

3191186	GH1203	MINESSE COMP REV 60+15 MCG 3 X 28	Etinilestradiol + Gestodeno	Comprimido revestido por película	NÃO	Etinilestradiol + Gestodeno | A101 | Oral | 0.015 mg + 0.06 mg | 3 CICLOS [63-84] 	 	1 comp./dia 28 dias seguidos	17,04	Laboratórios Pfizer, Lda.	Éticos
Listagem de Produtos

Filtros Aplicados: «Estado Produto» = 'Normal' E «Código» > '0' 
Farmácia: Vitorino	Contribuinte:	516877160

Avenida Bernardo Santareno, 24

3218286	GH0067	ENALAPRIL SANDOZ COMP 20 MG X 60	Enalapril	Comprimido	SIM	Enalapril | A101 | Oral | 20 mg | [21-60] unidades	 	Adultos – HTA: 5-20 mg/dia; Insuf. Cardíaca: iniciar com 2,5 mg/dia, com 	8,67	Sandoz Farmacêutica, Lda.	Éticos
3232782	GH0000	ACIDO ACETILSALICILICO RATIOPHARM COMP 100 MG X 50	Ácido acetilsalicílico	Comprimido	SIM	Não atribuido	 	Adultos – Angina de peito instável: 75 a 300 mg/dia; Profilaxia do reenfarte: 300 	4,37	Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.	Éticos
3268182	GH0553	CATALIP 267 MICRONIZADO CAPS 267 MG X 30	Fenofibrato	Cápsula	NÃO	Fenofibrato | A101 | Oral | 267 mg | [21-60] unidades	 	Adultos e idoso  Posologia recomendada 200 mg/dia, pode ser necessário titular 	9,25	BGP Products, Unipessoal Lda.	Éticos
2931681	GH0000	ZOLEPTIL COMP REV 25 MG X 60	Zotepina	Comprimido revestido	NÃO	Não atribuido	 	Adulto - 75-300 mg/dia; dose inicial: 25 mg, de 8/8h; ajustar até 100 mg, de 	24,62	Italfarmaco - Produtos Farmacêuticos, Lda.	Éticos
2933687	GH0000	ZOLEPTIL COMP REV 50 MG X 60	Zotepina	Comprimido revestido	NÃO	Não atribuido	 	Adulto - 75-300 mg/dia; dose inicial: 25 mg, de 8/8h; ajustar até 100 mg, de 	46,13	Italfarmaco - Produtos Farmacêuticos, Lda.	Éticos
3076981	GH0000	FLUTAMIDA ZENTIVA COMP REV 250 MG X 50	Flutamida	Comprimido revestido	SIM	Não atribuido	 	 	11,65	Sanofi - Produtos Farmacêuticos, Lda.	Éticos

8283309	GH0000	BISOLVON LINCTUS XAROPE 4 MG/5 ML 200 ML	Bromexina	Xarope	NÃO	Não atribuido	Sanofi - Produtos Farmacêuticos, Lda	Adultos e > 12 anos: 10 ml 3x/dia; 6-12 anos: 5 ml 3x/dia; 2-6 anos: 2,5 ml 	7,95	Opella Healthcare Portugal, Unipessoal Lda	NETT
7336701	GH0000	PHOSPHORUS GRANULO  7CH 	 	 	NÃO	Não atribuido	 	 	7,15	Boiron	NETT

7337030	GH0000	SEPIA OF GRANULO  7CH 	 	 	NÃO	Não atribuido	 	 	7,15	Boiron	NETT

7337055	GH0000	FERRUM METALLICUM GRANULO  30 CH	 	 	NÃO	Não atribuido	 	 	7,15	Boiron	NETT

3338183	GH0000	LAMICTAL COMP DISP 2 MG X 30	Lamotrigina	Comprimido dispersível ou para mastigar	NÃO	Não atribuido	 	Epilepsia: Adulto e adolescente (> 13 anos) - 25 mg, de 24/24h (semana 1 e 	3,44	GlaxoSmithkline Produtos Farmacêuticos, Lda.	Éticos
7733154	GH0000	BICARBONATO SODIO 30 G	 	 	NÃO	Não atribuido	 	 	0,75	Aliand	NETT

7733170	GH0000	BORATO SODIO 30 G ALLIAND	 	 	NÃO	Não atribuido	 	 	0,80	Aliand	NETT

7733196	GH0000	CLORETO MAGNESIO PURO 100 GR ALIFAR	 	N.A.	NÃO	Não atribuido	 	 	2,60	Aliand	NETT

7733220	GH0000	AGUA OXIGENADA AG OX 30V 250 ML ALIAND	 	 	NÃO	Não atribuido	 	 	0,75	Aliand	NETT

7733238	GH0000	AMENDOAS DOCES OLEO 125 ML ALIFAR	 	 	NÃO	Não atribuido	 	 	1,95	Aliand	NETT

7733246	GH0000	SORO FISIOLOGICO SORO 0,9% 100 ML ALIAND	 	 	NÃO	Não atribuido	 	 	0,65	Aliand	NETT

6560094	GH0000	TENA PANTS CUECA PEQ 65/85CM X 14	 	 	NÃO	Não atribuido	 	 	17,70	Essity	NETT

6560110	GH0000	TENA PANTS CUECA MED 80/110CM X 14	 	 	NÃO	Não atribuido	 	 	17,99	Essity	NETT

6560128	GH0000	TENA PANTS CUECA GDE 100/135CM X14	 	 	NÃO	Não atribuido	 	 	19,95	Essity	NETT

7879023	 	IBICI STAY UP 140 MEIA AF 140 T3 COR 36	 	 	NÃO	 	 	 	32,95	CPCH	NETT

6764720	GH0000	CONTROL NATURE ADAPTA X 3	 	 	NÃO	Não atribuido	Artsana Portugal, S.A	 	2,50	ARTSANA           	NETT

7879270	GH0000	CONTORNO PULSO LIG PULSO 204 S  7,5CM	 	 	NÃO	Não atribuido	 	 	3,45	CINTAS CONTORNO   	NETT

7879205	GH0000	CONTORNO PULSO LIG PULSO 204 M  7,5CM	 	 	NÃO	Não atribuido	 	 	3,45	CINTAS CONTORNO   	NETT

7879213	GH0000	CONTORNO PULSO LIG PULSO 204 L  7,5CM	 	 	NÃO	Não atribuido	 	 	3,45	CINTAS CONTORNO   	Éticos

7879221	GH0000	CONTORNO PULSO LIG PULSO 204 XL 7,5CM	 	 	NÃO	Não atribuido	 	 	3,45	CINTAS CONTORNO   	NETT

5267463	GH0500	AIRTAL COMP REV 100 MG X 60	Aceclofenac	Comprimido revestido por película	NÃO	Aceclofenac | A101 | Oral | 100 mg | [21-60] unidades	 	Adultos:  100 mg de 12 em 12 horas.   Insuficiência hepática: recomenda-se 	9,60	Almirall, S.A	Éticos
3340486	GH0120	OMEPRAZOL OMEZOLAN CAPS 20 MG X 56	Omeprazol	Cápsula gastrorresistente	SIM	Omeprazol | A103 | Oral | 20 mg | [21-60] unidades	 	Adultos: dose usual é de 20 mg/dia	4,48	Aristo Pharma Iberia, SL	Éticos

6560599	GH0000	AVENE SOLAR CR 50+ COR 50 ML	 	 	NÃO	Não atribuido	Pierre Fabre, Lda	 	18,95	Pierre Fabre	NETT

6560813	GH0000	URIAGE KERATOSANE 30  GEL QUERATOLITICO 75 ML	 	 	NÃO	Não atribuido	 	 	15,49	Uriage	NETT

6560839	GH0000	SAFORELLE SOL TOP 250 ML	 	 	NÃO	Não atribuido	 	 	14,99	Biocodex	NETT

6560888	GH0000	GINIX GEL FLUIDO LUBRIF 40 ML	 	N.A.	NÃO	Não atribuido	Crefar Rep., Lda.	 	19,65	Azentis	NETT

